address,orientation
1 BABBAGE ROAD,E
101 BABBAGE ROAD,NE
11 BABBAGE ROAD,S
15 BABBAGE ROAD,NE
23 BABBAGE ROAD,SW
25 BABBAGE ROAD,SW
3 BABBAGE ROAD,SE
17 DUDLEY AVENUE,SE
20 DUDLEY AVENUE,SW
22 DUDLEY AVENUE,NE
23 DUDLEY AVENUE,SW
35 LONGFORD STREET,SW
5 LONGFORD STREET,NW
6 LONGFORD STREET,SE
47 PACIFIC HIGHWAY,NW
"UNIT 2, 49 PACIFIC HIGHWAY",NE
"UNIT 4, 49 PACIFIC HIGHWAY",S
49 PACIFIC HIGHWAY,NW
43 GRIFFITH AVENUE,NW
47 GRIFFITH AVENUE,NW
51 GRIFFITH AVENUE,W
53 GRIFFITH AVENUE,SW
55 GRIFFITH AVENUE,NW
16 BARANA PARADE,SW
17 BARANA PARADE,SW
19 BARANA PARADE,N
20 BARANA PARADE,E
21 BARANA PARADE,S
20 DUNTROON AVENUE,S
21 DUNTROON AVENUE,SW
"UNIT 36, 5-17 PACIFIC HIGHWAY",N
"UNIT 37, 5-17 PACIFIC HIGHWAY",SW
23 THOMAS AVENUE,SW
24 THOMAS AVENUE,SE
27 THOMAS AVENUE,W
28 THOMAS AVENUE,NW
29 THOMAS AVENUE,NW
3 THOMAS AVENUE,NW
"UNIT 44, 5-17 PACIFIC HIGHWAY",W
"UNIT 46, 5-17 PACIFIC HIGHWAY",W
"UNIT 47, 5-17 PACIFIC HIGHWAY",W
"UNIT 48, 5-17 PACIFIC HIGHWAY",W
"UNIT 50, 5-17 PACIFIC HIGHWAY",NW
"UNIT 51, 5-17 PACIFIC HIGHWAY",SE
"UNIT 6, 5-17 PACIFIC HIGHWAY",W
"UNIT 7, 5-17 PACIFIC HIGHWAY",W
"UNIT 8, 5-17 PACIFIC HIGHWAY",W
"UNIT 9, 5-17 PACIFIC HIGHWAY",W
26 TRAFALGAR AVENUE,W
29 TRAFALGAR AVENUE,SE
10B BOUNDARY STREET,W
101 BOUNDARY STREET,NE
103 BOUNDARY STREET,NW
31 MARGARET STREET,E
5 MARGARET STREET,E
7 MARGARET STREET,E
41 BROMBOROUGH ROAD,E
42 BROMBOROUGH ROAD,E
43 BROMBOROUGH ROAD,S
7 HAIG STREET,S
9 HAIG STREET,S
98 BOUNDARY STREET,S
1A BROMBOROUGH ROAD,S
10 BROMBOROUGH ROAD,S
12 BROMBOROUGH ROAD,NW
14 BROMBOROUGH ROAD,NW
15 BROMBOROUGH ROAD,NW
17 BROMBOROUGH ROAD,NW
18 BROMBOROUGH ROAD,NW
"UNIT 7, 134 PACIFIC HIGHWAY",SW
"UNIT 8, 134 PACIFIC HIGHWAY",SW
"UNIT 5, 154 PACIFIC HIGHWAY",NE
"UNIT 7, 154 PACIFIC HIGHWAY",SW
7 EDITH STREET,NW
32B REMBRANDT DRIVE,NW
279 EASTERN VALLEY WAY,NE
281 EASTERN VALLEY WAY,NE
285 EASTERN VALLEY WAY,NE
"APARTMENT 506B, 34 PENSHURST STREET",NW
"UNIT 402, 11 VICTORIA STREET",NW
"UNIT 1, 11 VICTORIA STREET",NW
"APARTMENT 303B, 34 PENSHURST STREET",NW
"UNIT 302, 11 VICTORIA STREET",NW
"APARTMENT 406B, 34 PENSHURST STREET",NE
"APARTMENT 310A, 34 PENSHURST STREET",SW
"UNIT 206, 9 VICTORIA STREET",SW
"APARTMENT 205B, 34 PENSHURST STREET",W
"UNIT 207, 9 VICTORIA STREET",NE
"APARTMENT 308B, 34 PENSHURST STREET",SW
"APARTMENT 403B, 34 PENSHURST STREET",NW
"APARTMENT 204A, 34 PENSHURST STREET",NW
"UNIT 403, 11 VICTORIA STREET",SE
"APARTMENT 404B, 34 PENSHURST STREET",SE
"UNIT 203, 11 VICTORIA STREET",N
"APARTMENT 402A, 34 PENSHURST STREET",E
"UNIT 3, 42 FRENCHS ROAD",E
1 HARBOUR LANE,W
"UNIT 1, 1A ARTARMON ROAD",W
"UNIT 2, 1A ARTARMON ROAD",SE
"UNIT 3, 1A ARTARMON ROAD",NW
"UNIT 4, 1A ARTARMON ROAD",NW
"UNIT 15, 174 PACIFIC HIGHWAY",NW
"UNIT 16, 55 PACIFIC HIGHWAY",SW
"UNIT 21, 174 PACIFIC HIGHWAY",NW
"UNIT 22, 174 PACIFIC HIGHWAY",S
"UNIT 26, 55 PACIFIC HIGHWAY",W
"UNIT 36, 180 PACIFIC HIGHWAY",NW
124-130 PACIFIC HIGHWAY,NW
86A MACQUARIE STREET,NW
124 PACIFIC HIGHWAY,S
3B MELNOTTE AVENUE,SW
30 GRIFFITH AVENUE,N
5A TUNKS STREET,NE
42 ARCHBOLD ROAD,SE
"UNIT 16, 6-10 CHURCH STREET",S
"UNIT 15, 6-10 CHURCH STREET",NW
"UNIT 14, 6-10 CHURCH STREET",SW
"UNIT 13, 6-10 CHURCH STREET",E
"UNIT 12, 174 PACIFIC HIGHWAY",NE
"UNIT 13, 174 PACIFIC HIGHWAY",NE
"UNIT 16, 174 PACIFIC HIGHWAY",N
"UNIT 18, 174 PACIFIC HIGHWAY",SW
"UNIT 13, 6 VICTORIA STREET",S
